Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1740622312,82683638170d,reverse-proxy-cache-1,82683638170d,0.00%,"17.27MiB / 20MiB",86.33%,"132MB / 126MB","0B / 0B",20
1740622312,d0e094025c73,reverse-proxy-agent-1,d0e094025c73,0.06%,"262.5MiB / 15.48GiB",1.66%,"209MB / 165MB","0B / 0B",36
1740622312,9947d69af862,reverse-proxy-lb-1,9947d69af862,0.15%,"96.6MiB / 15.48GiB",0.61%,"1.03MB / 1.31MB","0B / 0B",39
1740622312,ebc59ece3ba0,reverse-proxy-controller-1,ebc59ece3ba0,0.67%,"796.3MiB / 15.48GiB",5.02%,"21.8MB / 87.5MB","0B / 0B",234
1740622312,4b208a6a1dea,reverse-proxy-api-1,4b208a6a1dea,0.11%,"53.18MiB / 60MiB",88.64%,"713kB / 529kB","0B / 0B",11
1740622324,82683638170d,reverse-proxy-cache-1,82683638170d,0.00%,"17.27MiB / 20MiB",86.33%,"132MB / 126MB","0B / 0B",20
1740622324,d0e094025c73,reverse-proxy-agent-1,d0e094025c73,0.08%,"262.7MiB / 15.48GiB",1.66%,"209MB / 165MB","0B / 0B",36
1740622324,9947d69af862,reverse-proxy-lb-1,9947d69af862,0.06%,"96.6MiB / 15.48GiB",0.61%,"1.03MB / 1.31MB","0B / 0B",39
1740622324,ebc59ece3ba0,reverse-proxy-controller-1,ebc59ece3ba0,0.64%,"796.9MiB / 15.48GiB",5.03%,"21.8MB / 87.5MB","0B / 0B",234
1740622324,4b208a6a1dea,reverse-proxy-api-1,4b208a6a1dea,0.04%,"53.18MiB / 60MiB",88.64%,"713kB / 529kB","0B / 0B",11
1740622335,82683638170d,reverse-proxy-cache-1,82683638170d,0.00%,"17.27MiB / 20MiB",86.33%,"132MB / 126MB","0B / 0B",20
1740622335,d0e094025c73,reverse-proxy-agent-1,d0e094025c73,0.03%,"262.5MiB / 15.48GiB",1.66%,"209MB / 165MB","0B / 0B",36
1740622335,9947d69af862,reverse-proxy-lb-1,9947d69af862,0.08%,"96.6MiB / 15.48GiB",0.61%,"1.03MB / 1.31MB","0B / 0B",39
1740622335,ebc59ece3ba0,reverse-proxy-controller-1,ebc59ece3ba0,137.66%,"797.9MiB / 15.48GiB",5.03%,"21.8MB / 87.5MB","0B / 0B",234
1740622335,4b208a6a1dea,reverse-proxy-api-1,4b208a6a1dea,0.10%,"53.18MiB / 60MiB",88.64%,"713kB / 529kB","0B / 0B",11
1740622417,82683638170d,reverse-proxy-cache-1,82683638170d,0.00%,"17.27MiB / 20MiB",86.33%,"132MB / 126MB","0B / 0B",20
1740622417,d0e094025c73,reverse-proxy-agent-1,d0e094025c73,0.05%,"262.5MiB / 15.48GiB",1.66%,"209MB / 165MB","0B / 0B",36
1740622417,9947d69af862,reverse-proxy-lb-1,9947d69af862,0.22%,"96.75MiB / 15.48GiB",0.61%,"1.03MB / 1.31MB","0B / 0B",39
1740622417,ebc59ece3ba0,reverse-proxy-controller-1,ebc59ece3ba0,0.48%,"802.9MiB / 15.48GiB",5.07%,"21.9MB / 87.5MB","0B / 0B",233
1740622417,4b208a6a1dea,reverse-proxy-api-1,4b208a6a1dea,0.06%,"53.18MiB / 60MiB",88.64%,"713kB / 529kB","0B / 0B",11
1740622428,82683638170d,reverse-proxy-cache-1,82683638170d,0.00%,"17.27MiB / 20MiB",86.33%,"132MB / 126MB","0B / 0B",20
1740622428,d0e094025c73,reverse-proxy-agent-1,d0e094025c73,0.07%,"262.5MiB / 15.48GiB",1.66%,"209MB / 165MB","0B / 0B",36
1740622428,9947d69af862,reverse-proxy-lb-1,9947d69af862,0.13%,"96.77MiB / 15.48GiB",0.61%,"1.03MB / 1.31MB","0B / 0B",39
