timestamp,active_connections,delta_accepts,delta_handled,delta_requests,reading,writing,waiting
2025-03-06 15:51:38,1,0,0,0,0,1,0
2025-03-06 15:51:48,1,1,1,1,0,1,0
2025-03-06 15:51:55,1,1,1,1,0,1,0
2025-03-06 15:52:05,1,91,91,91,0,1,0
2025-03-06 15:52:15,1,282,282,282,0,1,0
2025-03-06 15:52:23,1,495,495,495,0,1,0
2025-03-06 15:52:33,1,698,698,698,0,1,0
2025-03-06 15:52:43,1,884,884,884,0,1,0
2025-03-06 15:52:53,1,1085,1085,1085,0,1,0
2025-03-06 15:53:00,2,1293,1293,1293,0,1,1
2025-03-06 15:53:11,1,1486,1486,1486,0,1,0
2025-03-06 15:53:21,1,1677,1677,1677,0,1,0
2025-03-06 15:53:28,2,1891,1891,1891,0,1,1
2025-03-06 15:53:38,1,2091,2091,2091,0,1,0
2025-03-06 15:53:48,1,2264,2264,2264,0,1,0
2025-03-06 15:53:56,1,2501,2501,2501,0,1,0
2025-03-06 15:54:06,1,2663,2663,2663,0,1,0
2025-03-06 15:54:16,1,2890,2890,2890,0,1,0
2025-03-06 15:54:23,2,3081,3081,3081,0,1,1
2025-03-06 15:54:33,1,3275,3275,3275,0,1,0
2025-03-06 15:54:43,1,3487,3487,3487,0,1,0
2025-03-06 15:54:53,1,3664,3664,3664,0,1,0
2025-03-06 15:55:01,1,3885,3885,3885,0,1,0
2025-03-06 15:55:11,4,4072,4072,4072,0,1,3
2025-03-06 15:55:21,3,4262,4262,4262,0,1,2
2025-03-06 15:55:28,1,4453,4453,4453,0,1,0
2025-03-06 15:55:38,4,4660,4660,4660,0,1,3
2025-03-06 15:55:48,5,4863,4863,4863,0,1,4
2025-03-06 15:55:56,1,4135,4135,4135,0,1,0
2025-03-06 15:56:06,1,3912,3912,3912,0,1,0
2025-03-06 15:56:16,2,4174,4174,4174,0,1,1
2025-03-06 15:56:23,3,4351,4351,4351,0,1,2
2025-03-06 15:56:33,1,4503,4503,4503,0,1,0
2025-03-06 15:56:43,1,4771,4771,4771,0,1,0
2025-03-06 15:56:53,2,4606,4606,4606,0,1,1
2025-03-06 15:58:44,1,53389,53389,53389,0,1,0
2025-03-06 15:58:54,1,4953,4953,4953,0,1,0
2025-03-06 15:59:11,13,8028,8028,8021,0,1,12
2025-03-06 15:59:21,1,4180,4180,4187,0,1,0
2025-03-06 15:59:29,1,4478,4478,4478,0,1,0
2025-03-06 15:59:39,1,4444,4444,4444,0,1,0
2025-03-06 15:59:49,22,4778,4778,4766,0,3,19
2025-03-06 15:59:56,1,4599,4599,4611,0,1,0
2025-03-06 16:00:06,9,3753,3753,3747,0,1,8
2025-03-06 16:00:16,10,4036,4036,4040,0,2,8
2025-03-06 16:00:24,1,4386,4386,4388,0,1,0
2025-03-06 16:00:34,6,4815,4815,4815,0,1,5
2025-03-06 16:00:44,88,4869,4869,4836,0,1,87
2025-03-06 16:00:54,1,2676,2676,2709,0,1,0
2025-03-06 16:01:02,1,1,1,1,0,1,0
2025-03-06 16:01:12,1,1,1,1,0,1,0
2025-03-06 16:01:22,1,1,1,1,0,1,0
2025-03-06 16:01:29,1,1,1,1,0,1,0
2025-03-06 16:01:39,1,1,1,1,0,1,0
2025-03-06 16:01:49,1,1,1,1,0,1,0
2025-03-06 16:01:57,1,1,1,1,0,1,0
2025-03-06 16:02:07,1,1,1,1,0,1,0
2025-03-06 16:02:17,1,1,1,1,0,1,0
2025-03-06 16:02:25,1,1,1,1,0,1,0
2025-03-06 16:02:35,1,1,1,1,0,1,0
2025-03-06 16:02:45,1,1,1,1,0,1,0
2025-03-06 16:02:55,1,1,1,1,0,1,0
2025-03-06 16:03:02,1,1,1,1,0,1,0
2025-03-06 16:03:12,1,1,1,1,0,1,0
2025-03-06 16:03:22,1,1,1,1,0,1,0
2025-03-06 16:03:30,1,1,1,1,0,1,0
2025-03-06 16:03:40,1,1,1,1,0,1,0
2025-03-06 16:03:50,1,1,1,1,0,1,0
2025-03-06 16:03:57,1,1,1,1,0,1,0
2025-03-06 16:04:08,1,1,1,1,0,1,0
2025-03-06 16:04:18,1,1,1,1,0,1,0
