DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-02-28 07:58:10,10,20,0,1036.7,70.51,10,81,810,0,0,7.15,13.95
2025-02-28 07:58:12,10,20,0,988.4,65.997,10,81,810,0,0,1.3,2.4
2025-02-28 07:58:14,10,20,0,1001.7,78.399,10,81,810,0,0,1.3,2.8
2025-02-28 07:58:16,10,20,0,1017.85,63.156,10,81.5,815,0,0,2.3,14.95
2025-02-28 07:58:18,17,20,0,1030.75,61.016,10,82,820,0,0,1.75,3.35
2025-02-28 07:58:20,20,41,0,1015.683,67.987,20.5,81.951,1680,0,0,1.244,2.61
2025-02-28 07:58:22,20,41,0,1004.78,64.134,20.5,81,1660.5,0,0,1.561,3.073
2025-02-28 07:58:24,20,41,0,1001.293,66.223,20.5,81,1660.5,0,0,1.512,2.463
2025-02-28 07:58:26,30,102,0,991.608,70.724,51,80.99,4130.5,0,0,0.814,2.029
2025-02-28 07:58:28,30,59,0,1012.576,58.044,29.5,80.085,2362.5,0,0,0.797,1.814
2025-02-28 07:58:30,30,61,0,1013.279,66.363,30.5,80,2440,0,0,0.77,1.557
2025-02-28 07:58:32,30,60,0,1012.067,67.781,30,80.067,2402,0,0,0.967,2.617
2025-02-28 07:58:34,30,58,0,1022.552,62.985,29,81.862,2374,0,0,0.897,2.466
2025-02-28 07:58:36,40,72,0,996.403,68.068,36,82,2952,0,0,1.083,2.097
2025-02-28 07:58:38,40,79,0,1017.152,61.598,39.5,82,3239,0,0,0.81,1.734
2025-02-28 07:58:40,40,82,0,1017.317,66.855,41,81.939,3359.5,0,0,0.866,5.11
2025-02-28 07:58:42,40,80,0,1007.45,57.622,40,82,3280,0,0,0.8,1.725
2025-02-28 07:58:44,40,78,0,1011.936,54.391,39,82,3198,0,0,0.808,1.923
2025-02-28 07:58:46,50,90,0,1011.822,62.845,45,82,3690,0,0,0.767,1.578
