DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-02-28 07:45:10,10,20,0,1052.85,48.949,10,81,810,0,0,5.05,11.65
2025-02-28 07:45:12,10,20,0,995.5,78.213,10,81,810,0,0,1.65,3.15
2025-02-28 07:45:14,10,19,0,1010.684,72.19,9.5,81,769.5,0,0,1.053,3.684
2025-02-28 07:45:16,10,19,0,1030.211,59.812,9.5,81,769.5,0,0,2.316,3.632
2025-02-28 07:45:18,20,19,0,1010.474,52.798,9.5,81,769.5,0,0,0.737,1.421
2025-02-28 07:45:20,20,40,0,1001.175,73.235,20,81,1620,0,0,0.975,4.7
2025-02-28 07:45:22,20,41,0,995.366,67.022,20.5,81,1660.5,0,0,1.244,2.244
2025-02-28 07:45:24,20,40,0,1007.8,77.132,20,81,1620,0,0,1.075,2.175
2025-02-28 07:45:26,20,41,0,1008.537,56.876,20.5,81.293,1666.5,0,0,0.561,2.537
2025-02-28 07:45:28,30,37,0,998.919,63.175,18.5,82,1517,0,0,1.216,2.622
2025-02-28 07:45:30,30,60,0,1011.1,72.72,30,82,2460,0,0,0.817,2.017
2025-02-28 07:45:32,30,61,0,1016.82,71.64,30.5,81.967,2500,0,0,1.459,4.361
2025-02-28 07:45:34,30,60,0,1009.5,68.618,30,82,2460,0,0,1.083,2.167
2025-02-28 07:45:36,40,156,0,1014.205,60.985,78,82,6396,0,0,0.981,1.929
2025-02-28 07:45:38,40,82,0,1017.549,71.267,41,81.622,3346.5,0,0,0.829,1.939
2025-02-28 07:45:40,40,81,0,994.407,74.586,40.5,81,3280.5,0,0,0.815,1.753
2025-02-28 07:45:42,40,83,0,1000.53,63.518,41.5,81,3361.5,0,0,0.783,1.783
2025-02-28 07:45:44,40,79,0,995.013,63.597,39.5,81.43,3216.5,0,0,0.823,2.203
2025-02-28 07:45:46,50,90,0,991.889,59.619,45,82,3690,0,0,0.611,1.4
2025-02-28 07:45:48,50,100,0,1006.76,67.718,50,82,4100,0,0,0.84,1.87
2025-02-28 07:45:50,50,99,0,1002.98,66.499,49.5,82,4059,0,0,0.657,2.313
2025-02-28 07:45:52,50,99,0,1004.616,68.445,49.5,82,4059,0,0,0.808,1.96
2025-02-28 07:45:54,50,100,0,1014.63,61.606,50,82,4100,0,0,0.69,1.51
2025-02-28 07:45:56,60,112,0,998.938,63.579,56,81.107,4542,0,0,0.875,2.018
2025-02-28 07:45:58,60,118,0,998.737,66.103,59,80,4720,0,0,0.644,1.534
2025-02-28 07:46:00,60,124,0,1001.089,61.521,62,80,4960,0,0,0.839,1.855
2025-02-28 07:46:02,60,120,0,1001.367,58.778,60,80.867,4852,0,0,0.567,1.533
2025-02-28 07:46:04,64,156,0,1001.282,65.771,78,82,6396,0,0,0.737,1.667
2025-02-28 07:46:06,70,291,0,1002.619,66.716,145.5,82,11931,0,0,0.519,1.127
2025-02-28 07:46:08,70,138,0,1002.21,71.231,69,81.225,5604.5,0,0,0.551,2.848
2025-02-28 07:46:10,70,143,0,1004.958,56.599,71.5,80,5720,0,0,0.657,1.503
2025-02-28 07:46:12,75,139,0,995.23,65.247,69.5,80,5560,0,0,0.727,1.532
2025-02-28 07:46:14,80,160,0,1010.538,65.681,80,80.838,6467,0,0,0.738,3.406
2025-02-28 07:46:16,80,160,0,1002.031,64.116,80,82,6560,0,0,0.506,1.225
2025-02-28 07:46:18,80,161,0,1004.783,76.408,80.5,82,6601,0,0,0.621,1.441
2025-02-28 07:46:20,80,160,0,1002.25,55.027,80,81.575,6526,0,0,0.625,1.631
2025-02-28 07:46:22,86,160,0,1002.494,63.715,80,81,6480,0,0,0.637,1.55
2025-02-28 07:46:24,90,179,0,996.251,64.928,89.5,81,7249.5,0,0,0.553,1.302
2025-02-28 07:46:26,90,181,0,1010.779,61.012,90.5,81,7330.5,0,0,0.68,2.066
2025-02-28 07:46:28,90,181,0,1002.21,61.24,90.5,81,7330.5,0,0,0.63,1.387
2025-02-28 07:46:30,90,179,0,1007.966,75.028,89.5,81,7249.5,0,0,0.581,1.358
2025-02-28 07:46:32,97,183,0,1005.978,68.216,91.5,80.12,7331,0,0,0.563,2.23
