DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-02-28 06:36:25,10,15,0,1090.333,75.905,7.5,80.933,607,0,0,9.133,56.4
2025-02-28 06:36:27,10,25,0,1043.56,80.054,12.5,80.84,1010.5,0,0,1.88,43.16
2025-02-28 06:36:29,10,15,0,1043.467,80.131,7.5,80.467,603.5,0,0,2.267,50.067
2025-02-28 06:36:31,10,18,0,1037.944,50.861,9,80.389,723.5,0,0,2.5,35.778
2025-02-28 06:36:33,18,19,0,1076.632,62.873,9.5,80.895,768.5,0,0,2.211,56.211
2025-02-28 06:36:35,20,35,0,1041.057,88.917,17.5,80.743,1413,0,0,1.543,48.886
2025-02-28 06:36:37,20,39,0,1046.231,68.844,19.5,80.795,1575.5,0,0,1.718,46.769
2025-02-28 06:36:39,20,40,0,1039.1,72.318,20,80.95,1619,0,0,1,34.275
2025-02-28 06:36:41,20,39,0,1046.333,74.638,19.5,80.615,1572,0,0,1.103,43.59
2025-02-28 06:36:43,28,39,0,1033.821,65.372,19.5,80.333,1566.5,0,0,1.231,59.59
2025-02-28 06:36:45,30,55,0,1051.818,77.639,27.5,80.527,2214.5,0,0,1.291,62.018
2025-02-28 06:36:47,30,53,0,1062.283,94.565,26.5,80.434,2131.5,0,0,0.906,59.226
2025-02-28 06:36:49,30,56,0,1075.536,73.45,28,80.607,2257,0,0,1.018,59.911
2025-02-28 06:36:51,30,58,0,1047.414,75.796,29,80.638,2338.5,0,0,0.948,44.931
2025-02-28 06:36:53,40,170,0,1063.776,71.831,85,80.812,6869,0,0,0.841,24.053
2025-02-28 06:36:55,40,78,0,1063.103,75.799,39,80.59,3143,0,0,0.628,58.718
2025-02-28 06:36:57,40,68,0,1091.265,85.371,34,80.735,2745,0,0,0.794,90.324
2025-02-28 06:36:59,40,76,0,1112.5,89.875,38,80.632,3064,0,0,0.526,98.605
2025-02-28 06:37:01,50,83,0,1082.855,73.185,41.5,80.783,3352.5,0,0,0.687,67
2025-02-28 06:37:03,50,89,0,1109.843,83.239,44.5,80.607,3587,0,0,0.685,112.865
2025-02-28 06:37:05,50,95,0,1097.421,81.081,47.5,80.368,3817.5,0,0,0.621,96.905
2025-02-28 06:37:07,50,90,0,1098.111,70.908,45,80.722,3632.5,0,0,0.578,100.644
2025-02-28 06:37:09,50,88,0,1103.216,68.306,44,80.455,3540,0,0,0.511,96.977
2025-02-28 06:37:11,60,94,0,1125.553,87.429,47,80.521,3784.5,0,0,0.543,120.223
2025-02-28 06:37:13,60,96,0,1238.802,73.232,48,80.573,3867.5,0,0,0.542,232.51
2025-02-28 06:37:15,60,96,0,1241.031,79.936,48,80.385,3858.5,0,0,0.625,235.583
2025-02-28 06:37:17,60,104,0,1228.24,84.692,52,80.481,4185,0,0,0.538,239.558
2025-02-28 06:37:19,60,95,0,1231.316,78.503,47.5,80.379,3818,0,0,0.547,227.2
2025-02-28 06:37:21,70,97,0,1237.546,91.178,48.5,80.485,3903.5,0,0,0.546,237.175
2025-02-28 06:37:23,70,227,0,1423.855,152.101,113.5,80.493,9136,0,0,0.608,142.758
2025-02-28 06:37:25,70,95,0,1418.253,148.641,47.5,80.547,3826,0,0,0.558,406.358
2025-02-28 06:37:27,74,99,0,1419.414,137.53,49.5,80.374,3978.5,0,0,0.545,424.444
2025-02-28 06:37:29,80,95,0,1494.221,184.517,47.5,80.6,3828.5,0,0,0.589,500.968
2025-02-28 06:37:31,80,98,0,1620.235,271.348,49,80.429,3941,0,0,0.561,627.082
2025-02-28 06:37:33,80,98,0,1634.184,240.672,49,80.52,3945.5,0,0,0.541,629.143
2025-02-28 06:37:35,80,100,0,1623.9,234.724,50,80.49,4024.5,0,0,0.56,607.72
2025-02-28 06:37:37,86,101,0,1617.564,250.948,50.5,80.366,4058.5,0,0,0.554,613.406
2025-02-28 06:37:39,90,97,0,1682.577,279.306,48.5,80.515,3905,0,0,0.588,677.546
2025-02-28 06:37:41,90,97,0,1844.474,387.699,48.5,80.443,3901.5,0,0,0.536,846.196
2025-02-28 06:37:43,90,98,0,1867.143,379.755,49,80.51,3945,0,0,0.541,869.378
2025-02-28 06:37:45,90,97,0,1833.515,365.677,48.5,80.309,3895,0,0,0.546,825.113
2025-02-28 06:37:47,97,101,0,1861,364.548,50.5,80.446,4062.5,0,0,0.604,854.198
2025-02-28 06:37:49,100,94,0,1851.979,371.25,47,80.362,3777,0,0,0.638,843
2025-02-28 06:37:51,100,165,0,2030.267,503.72,82.5,80.594,6649,0,0,0.485,701.509
2025-02-28 06:37:53,100,178,0,2053.73,475.125,89,80.534,7167.5,0,0,0.494,615.826
2025-02-28 06:37:55,110,95,0,2068.905,477.573,47.5,80.474,3822.5,0,0,0.547,1060.726
2025-02-28 06:37:57,110,97,0,2122.856,550.938,48.5,80.443,3901.5,0,0,0.495,1119.66
2025-02-28 06:37:59,110,99,0,2267.98,584.299,49.5,80.374,3978.5,0,0,0.414,1256.525
2025-02-28 06:38:01,110,99,0,2210.929,607.518,49.5,80.586,3989,0,0,0.465,1205.98
2025-02-28 06:38:03,110,96,0,2244.5,569.975,48,80.469,3862.5,0,0,0.458,1247.479
2025-02-28 06:38:05,120,97,0,2268.299,580.471,48.5,80.34,3896.5,0,0,0.505,1277.124
2025-02-28 06:38:07,120,100,0,2284.45,620.363,50,80.4,4020,0,0,0.56,1292.49
2025-02-28 06:38:09,120,96,0,2450.646,701.063,48,80.458,3862,0,0,0.562,1453.073
2025-02-28 06:38:11,120,102,0,2421.745,721.55,51,80.343,4097.5,0,0,0.471,1424.931
2025-02-28 06:38:13,120,97,0,2504.701,724.455,48.5,80.546,3906.5,0,0,0.454,1499.742
2025-02-28 06:38:15,130,95,0,2472.179,725.074,47.5,80.526,3825,0,0,0.432,1481.621
2025-02-28 06:38:17,130,96,0,2509.052,759.828,48,80.448,3861.5,0,0,0.51,1514.51
2025-02-28 06:38:19,130,100,0,2612.65,857.315,50,80.43,4021.5,0,0,0.42,1598.43
2025-02-28 06:38:21,130,138,0,2682.681,866.419,69,80.42,5549,0,0,0.457,1088.732
2025-02-28 06:38:23,140,179,0,2657.011,848.65,89.5,80.464,7201.5,0,0,0.564,884.933
2025-02-28 06:38:25,140,106,0,2675.689,891.516,53,80.736,4279,0,0,0.387,1678.943
2025-02-28 06:38:27,140,100,0,2861.06,914.01,50,80.45,4022.5,0,0,0.54,1861.03
2025-02-28 06:38:29,140,98,0,2846.837,919.489,49,80.663,3952.5,0,0,0.439,1841.071
2025-02-28 06:38:31,142,98,0,2769.612,962.793,49,80.408,3940,0,0,0.449,1768.347
2025-02-28 06:38:33,150,103,0,2811.272,993.63,51.5,80.466,4144,0,0,0.524,1816.029
2025-02-28 06:38:35,150,97,0,2926.031,970.009,48.5,80.423,3900.5,0,0,0.546,1917.536
2025-02-28 06:38:37,150,94,0,3065.064,1076.093,47,80.489,3783,0,0,0.415,2062.489
2025-02-28 06:38:39,150,99,0,3006.828,1092.944,49.5,80.424,3981,0,0,0.495,2004.182
2025-02-28 06:38:41,153,101,0,3095.663,1035.74,50.5,80.505,4065.5,0,0,0.406,2084.881
2025-02-28 06:38:43,160,101,0,3014.465,1068.55,50.5,80.436,4062,0,0,0.515,2008.683
2025-02-28 06:38:45,160,99,0,3014.04,1098.358,49.5,80.606,3990,0,0,0.414,2017.859
2025-02-28 06:38:47,160,101,0,3173.347,1204.991,50.5,80.713,4076,0,0,0.376,2169.792
2025-02-28 06:38:49,160,95,0,3261.053,1191.557,47.5,80.432,3820.5,0,0,0.411,2257.274
2025-02-28 06:38:51,170,243,0,3205.72,1273.467,121.5,80.539,9785.5,0,0,0.391,968.004
