DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-02-28 06:53:16,10,14,0,1092.786,86.636,7,80.357,562.5,0,0,14,74.786
2025-02-28 06:53:18,10,23,0,1045.435,49.252,11.5,81.087,932.5,0,0,1.652,37.478
2025-02-28 06:53:20,10,19,0,1010.368,64.07,9.5,80.684,766.5,0,0,1.526,32.895
2025-02-28 06:53:22,10,19,0,1061.895,56.01,9.5,80.947,769,0,0,2.895,40.579
2025-02-28 06:53:24,17,22,0,1040.955,45.166,11,81,891,0,0,1.364,35.955
2025-02-28 06:53:26,20,31,0,1063.452,91.376,15.5,80.806,1252.5,0,0,0.871,59.935
2025-02-28 06:53:28,20,39,0,1064.872,75.424,19.5,80.641,1572.5,0,0,1.103,43.231
2025-02-28 06:53:30,20,33,0,1047.03,62.899,16.5,81,1336.5,0,0,1.212,49.788
2025-02-28 06:53:32,20,39,0,1068.026,61.185,19.5,80.692,1573.5,0,0,2.872,46.256
2025-02-28 06:53:34,28,39,0,1048.769,60.065,19.5,80.872,1577,0,0,1.026,38.718
2025-02-28 06:53:36,30,53,0,1079.717,85.344,26.5,80.717,2139,0,0,0.943,64.736
2025-02-28 06:53:38,30,56,0,1042.482,68.16,28,80.964,2267,0,0,0.893,38.429
2025-02-28 06:53:40,30,57,0,1058.456,71.658,28.5,80.772,2302,0,0,0.842,50.737
2025-02-28 06:53:42,36,122,0,1057.434,69.883,61,80.639,4919,0,0,0.615,59.795
2025-02-28 06:53:44,40,98,0,1086.673,77.168,49,80.551,3947,0,0,0.704,85.082
2025-02-28 06:53:46,40,73,0,1083.932,90.161,36.5,80.781,2948.5,0,0,0.671,83.493
2025-02-28 06:53:48,40,78,0,1063.295,74.763,39,80.641,3145,0,0,0.654,60.103
2025-02-28 06:53:50,40,75,0,1061.627,61.405,37.5,80.493,3018.5,0,0,0.92,56.413
2025-02-28 06:53:52,50,81,0,1060.889,79.794,40.5,80.753,3270.5,0,0,0.679,60.148
2025-02-28 06:53:54,50,91,0,1098.418,79.179,45.5,80.714,3672.5,0,0,0.571,97.33
2025-02-28 06:53:56,50,95,0,1087.758,66.523,47.5,80.421,3820,0,0,0.547,87.389
2025-02-28 06:53:58,50,88,0,1092.216,77.387,44,80.568,3545,0,0,0.739,86.841
2025-02-28 06:54:00,50,92,0,1112.5,94.97,46,80.565,3706,0,0,0.576,111
2025-02-28 06:54:02,60,91,0,1103.154,79.734,45.5,80.747,3674,0,0,0.615,100.956
2025-02-28 06:54:04,60,96,0,1265.698,86.137,48,80.302,3854.5,0,0,0.625,263.156
2025-02-28 06:54:06,60,92,0,1270.652,83.701,46,80.609,3708,0,0,0.478,262.663
2025-02-28 06:54:08,60,93,0,1304.129,89.141,46.5,80.366,3737,0,0,0.581,300.538
2025-02-28 06:54:10,60,96,0,1263.927,87.877,48,80.5,3864,0,0,0.542,256.01
2025-02-28 06:54:12,70,233,0,1416.399,185.129,116.5,80.266,9351,0,0,0.588,256.026
2025-02-28 06:54:14,70,102,0,1456.225,157.011,51,80.431,4102,0,0,0.529,457.078
2025-02-28 06:54:16,70,92,0,1443.304,158.353,46,80.391,3698,0,0,0.489,442.348
2025-02-28 06:54:18,76,101,0,1429.515,168.967,50.5,80.525,4066.5,0,0,0.564,429.594
2025-02-28 06:54:20,80,97,0,1514.763,220.458,48.5,80.392,3899,0,0,0.536,504.753
2025-02-28 06:54:22,80,92,0,1736.783,290.847,46,80.228,3690.5,0,0,0.598,739.272
2025-02-28 06:54:24,80,98,0,1645.929,252.485,49,80.531,3946,0,0,0.531,644.388
2025-02-28 06:54:26,80,96,0,1682.917,286.206,48,80.479,3863,0,0,0.542,679.729
2025-02-28 06:54:28,84,94,0,1658.734,280.953,47,80.617,3789,0,0,0.426,654.553
2025-02-28 06:54:30,90,95,0,1694.947,326.574,47.5,80.505,3824,0,0,0.568,694.958
2025-02-28 06:54:32,90,97,0,1869.608,392.011,48.5,80.433,3901,0,0,0.557,864.474
2025-02-28 06:54:34,90,93,0,1915.29,409.644,46.5,80.43,3740,0,0,0.495,920.075
2025-02-28 06:54:36,90,97,0,1867.567,386.734,48.5,80.495,3904,0,0,0.464,872.856
2025-02-28 06:54:38,93,100,0,1895.23,373.02,50,80.35,4017.5,0,0,0.52,895.16
2025-02-28 06:54:40,100,77,0,1883.468,432.641,38.5,80.364,3094,0,0,0.481,884.026
2025-02-28 06:54:42,100,231,0,2098.511,543.048,115.5,80.385,9284.5,0,0,0.502,469.584
2025-02-28 06:54:44,100,97,0,2141.299,542.428,48.5,80.423,3900.5,0,0,0.546,1135.732
2025-02-28 06:54:46,110,96,0,2001.594,520.832,48,80.427,3860.5,0,0,0.427,1002.719
